CUSTOMER ID,total_transactions
6035558647,34
2155554369,14
6175559555,26
5085559555,35
6175558428,8
6505555787,21
2035559545,17
2035554407,19
2125557413,48
6175558555,51
4085553659,40
6175552555,18
6175555555,11
6505551386,41
3105552373,3
2035552570,25
6505556809,34
4155551450,180
3105553722,13
2125557818,49
2155551555,31
2125551957,10
2155554695,21
NULL,1819
2125551500,25
6175557555,15
7025551838,29
4155554312,15
2015559350,21
9145554562,26
7605558146,25
6265557265,30
2155559857,23
2125558493,20
5085552555,26
